// MAR ÄRM definition names and descriptions (445 records, 128 bytes each)
// One record per line: @<rom offset> <text>
// Text is re-encoded to Shift-JIS at build time; a line may not grow
// past its fixed source field. Anything after // is a source comment.

@1B097C ＥＭＰＴＹ  // EN: Empty
@1BCBFC リーフコートストーン　ＣＬ２  // EN: Leaf Coat Stone CL2
@1BCC1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCC7C リーフコートストーン　ＣＬ３  // EN: Leaf Coat Stone CL3
@1BCC9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCCFC リーフコートストーン　ＣＬ４  // EN: Leaf Coat Stone CL4
@1BCD1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCD7C ウィンドコートストーン　ＣＬ１  // EN: Wind Coat Stone CL1
@1BCD9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCDFC ウィンドコートストーン　ＣＬ２  // EN: Wind Coat Stone CL2
@1BCE1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCE7C ウィンドコートストーン　ＣＬ３  // EN: Wind Coat Stone CL3
@1BCE9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCEFC ウィンドコートストーン　ＣＬ４  // EN: Wind Coat Stone CL4
@1BCF1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCF7C アースコートストーン　ＣＬ１  // EN: Earth Coat Stone CL1
@1BCF9E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BCFFC アースコートストーン　ＣＬ２  // EN: Earth Coat Stone CL2
@1BD01E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BD07C アースコートストーン　ＣＬ３  // EN: Earth Coat Stone CL3
@1BD09E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BD0FC アースコートストーン　ＣＬ４  // EN: Earth Coat Stone CL4
@1BD11E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BD17C サンダーコートストーン　ＣＬ１  // EN: Thunder Coat Stone CL1
@1BD19E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD1FC サンダーコートストーン　ＣＬ２  // EN: Thunder Coat Stone CL2
@1BD21E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD27C サンダーコートストーン　ＣＬ３  // EN: Thunder Coat Stone CL3
@1BD29E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD2FC サンダーコートストーン　ＣＬ４  // EN: Thunder Coat Stone CL4
@1BD31E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD37C フリーズストーン　ＣＬ１  // EN: Freeze Stone CL1
@1BD39E ＣＬ１の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL1 ÄRM.
@1BD3FC フリーズストーン　ＣＬ２  // EN: Freeze Stone CL2
@1BD41E ＣＬ２以下の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL2 or lower ÄRM.
@1BD47C フリーズストーン　ＣＬ３  // EN: Freeze Stone CL3
@1BD49E ＣＬ３以下の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL3 or lower ÄRM.
@1BD4FC カウントダウンストーン　ＣＬ１  // EN: Countdown Stone CL1
@1BD51E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1BD57C カウントダウンストーン　ＣＬ２  // EN: Countdown Stone CL2
@1BD59E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1BD5FC カウントダウンストーン　ＣＬ３  // EN: Countdown Stone CL3
@1BD61E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1BD67C デッキダウンストーン　ＣＬ２  // EN: Deck Down Stone CL2
@1BD69E 敵の<F0><56>ＲＭセレクトを４つにする  // EN: Limits the enemy's ÄRM Select to four.
@1BD6FC デッキダウンストーン　ＣＬ３  // EN: Deck Down Stone CL3
@1BD71E 敵の<F0><56>ＲＭセレクトを３つにする  // EN: Limits the enemy's ÄRM Select to three.
@1BD77C ミノタウロストーン　ＣＬ２  // EN: Minotaur Stone CL2
@1BD79E ミノタウロのタックル攻撃  // EN: Minotauro attacks with a tackle.
@1BD7FC ミノタウロストーン　ＣＬ３  // EN: Minotaur Stone CL3
@1BD81E ミノタウロの連続タックル  // EN: Minotauro tackles repeatedly.
@1BD87C サーペントストーン　ＣＬ２  // EN: Serpent Stone CL2
@1BD89E サーペントが水属性に変えて防御  // EN: Serpent changes to the water element and defends.
@1BD8FC サーペントストーン　ＣＬ３  // EN: Serpent Stone CL3
@1BD91E サーペントが渦巻きを発生させる  // EN: Serpent creates a whirlpool.
@1BD97C サラマンダーストーン　ＣＬ２  // EN: Salamander Stone CL2
@1BD99E サラマンダーが火属性に変えて防御  // EN: Salamander changes to the fire element and defends.
@1BD9FC サラマンダーストーン　ＣＬ３  // EN: Salamander Stone CL3
@1BDA1E サラマンダーが敵にアタック  // EN: Salamander attacks the enemy.
@1BDA7C トレントストーン　ＣＬ２  // EN: Treant Stone CL2
@1BDA9E トレントが木属性に変えて防御  // EN: Treant changes to the wood element and defends.
@1BDAFC トレントストーン　ＣＬ３  // EN: Treant Stone CL3
@1BDB1E トレントの葉攻撃＆体力回復  // EN: Treant attacks with leaves and restores HP.
@1BDB7C ジンストーン　ＣＬ２  // EN: Djinn Stone CL2
@1BDB9E ジンが風属性に変えて防御  // EN: Djinn changes to the wind element and defends.
@1BDBFC ジンストーン　ＣＬ３  // EN: Djinn Stone CL3
@1BDC1E ジンの体当たり攻撃  // EN: Djinn attacks with a body slam.
@1BDC7C クエイクストーン　ＣＬ２  // EN: Quake Stone CL2
@1BDC9E クエイクが地属性に変え防御と回復  // EN: Quake changes to the earth element, defends and heals.
@1BDCFC クエイクストーン　ＣＬ３  // EN: Quake Stone CL3
@1BDD1E クエイクの大地の攻撃＆体力回復  // EN: Quake attacks with earth and restores HP.
@1BDD7C インドラストーン　ＣＬ２  // EN: Indra Stone CL2
@1BDD9E インドラが雷属性に変えて防御  // EN: Indra changes to the lightning element and defends.
@1BDDFC インドラストーン　ＣＬ３  // EN: Indra Stone CL3
@1BDE1E インドラの電撃で１体が動作不能  // EN: Indra's electric shock immobilizes one target.
@1BDE7C アイスストーン　ＣＬ１  // EN: Ice Stone CL1
@1BDE9E 水のかたまりを前方向に投げる  // EN: Throws a mass of water forward.
@1BDEFC アイスストーン　ＣＬ２  // EN: Ice Stone CL2
@1BDF1E 氷のかたまりを前方向に投げる  // EN: Throws a chunk of ice forward.
@1BDF7C アイスストーン　ＣＬ３  // EN: Ice Stone CL3
@1BDF9E 多くの氷を前方向にばらまく  // EN: Scatters a shower of ice forward.
@1BDFFC ファイアストーン　ＣＬ１  // EN: Fire Stone CL1
@1BE01E 小さな火の玉を飛ばす  // EN: Launches a small fireball.
@1BE07C ファイアストーン　ＣＬ２  // EN: Fire Stone CL2
@1BE09E 大きな火の玉を飛ばす  // EN: Launches a large fireball.
@1BE0FC ファイアストーン　ＣＬ３  // EN: Fire Stone CL3
@1BE11E 火の玉を渦巻きのように飛ばす  // EN: Launches fireballs in a spiral.
@1BE17C プランツストーン　ＣＬ１  // EN: Plant Stone CL1
@1BE19E 体を葉で包み、動きを遅くする  // EN: Wraps the body in leaves, slowing movement.
@1BE1FC プランツストーン　ＣＬ２  // EN: Plant Stone CL2
@1BE21E ツタを足に絡ませて動きを止める  // EN: Entangles the feet in vines, stopping movement.
@1BE27C プランツストーン　ＣＬ３  // EN: Plant Stone CL3
@1BE29E ツタを体に絡ませて動きを止める  // EN: Entangles the body in vines, stopping movement.
@1BE2FC ストームストーン　ＣＬ１  // EN: Storm Stone CL1
@1BE31E 悪臭のつまった風船を飛ばす  // EN: Launches a balloon filled with a foul smell.
@1BE37C ストームストーン　ＣＬ２  // EN: Storm Stone CL2
@1BE39E たくさんの悪臭風船を飛ばす  // EN: Launches many foul-smelling balloons.
@1BE3FC ストームストーン　ＣＬ３  // EN: Storm Stone CL3
@1BE41E 大量の悪臭風船を飛ばす  // EN: Launches a huge barrage of foul-smelling balloons.
@1BE47C アースストーン　ＣＬ１  // EN: Earth Stone CL1
@1BE49E 足元をドロにして移動できなくする  // EN: Turns the ground underfoot to mud, preventing movement.
@1BE4FC アースストーン　ＣＬ２  // EN: Earth Stone CL2
@1BE51E 水晶がガードする  // EN: A crystal guards the user.
@1BE57C アースストーン　ＣＬ３  // EN: Earth Stone CL3
@1BE59E 宝石がガードする  // EN: A gemstone guards the user.
@1BE5FC ライトニングストーン　ＣＬ１  // EN: Lightning Stone CL1
@1BE61E プラズマ電気をぶつける  // EN: Hits the target with electrical plasma.
@1BE67C ライトニングストーン　ＣＬ２  // EN: Lightning Stone CL2
@1BE69E 雷をおとす  // EN: Calls down lightning.
@1BE6FC ライトニングストーン　ＣＬ３  // EN: Lightning Stone CL3
@1BE71E 大きな雷をおとす  // EN: Calls down a massive lightning strike.
@1BE77C 素手  // EN: Bare Hands
@1BE79E 素手用  // EN: For unarmed combat.
